commodity,state,district,date,rv30,post
chana,ALL,NATIONAL,2024-05-31,0.21105641786140286,1
chana,ALL,NATIONAL,2024-06-30,0.1420409479652955,1
chana,ALL,NATIONAL,2024-07-31,0.15193309264131888,1
chana,ALL,NATIONAL,2024-08-31,0.20383404805913097,1
chana,ALL,NATIONAL,2024-09-30,0.19246628910876826,1
chana,ALL,NATIONAL,2024-10-31,0.18337024248541087,1
chana,ALL,NATIONAL,2024-11-30,0.43029841319233497,1
chana,ALL,NATIONAL,2024-12-31,0.453752239777486,1
chana,ALL,NATIONAL,2025-01-31,0.45714633461290743,1
chana,ALL,NATIONAL,2025-02-28,0.5266992087201608,1
chana,ALL,NATIONAL,2025-03-31,0.7572428214586311,1
chana,ALL,NATIONAL,2025-04-30,0.7042732303234058,1
chana,ALL,NATIONAL,2025-05-31,0.20078832463002413,1
chana,ALL,NATIONAL,2025-06-30,0.17436562968436398,1
chana,ALL,NATIONAL,2025-07-31,0.261254282290279,1
chana,ALL,NATIONAL,2025-08-31,0.3111983595300854,1
chana,ALL,NATIONAL,2025-09-30,0.4486558246207704,1
chana,ALL,NATIONAL,2025-10-31,0.5862947558454382,1
cotton,ALL,NATIONAL,2017-01-31,,0
cotton,ALL,NATIONAL,2017-02-28,0.20954674542894203,0
cotton,ALL,NATIONAL,2017-03-31,0.25213460879346444,0
cotton,ALL,NATIONAL,2017-04-30,0.23431446235573433,0
cotton,ALL,NATIONAL,2017-05-31,0.12163544491093292,0
cotton,ALL,NATIONAL,2017-06-30,0.13276384802742472,0
cotton,ALL,NATIONAL,2017-07-31,0.16268852345171886,0
cotton,ALL,NATIONAL,2017-08-31,0.1658050955019589,0
cotton,ALL,NATIONAL,2017-09-30,0.22825289965439843,0
