treated_reference,treat_date,control,q,n_pre,n_post,vr_pre,vr_post,z2_pre,z2_post,ineff_pre,ineff_post,d_ineff
soybean,2021-12-20,turmeric,2,1294,998,0.4979622259629763,0.5120838500598579,-11.846710326911218,-9.378499097360939,0.5020377740370237,0.4879161499401421,-0.014121624096881558
soybean,2021-12-20,cotton,2,1293,1001,0.6553096768801734,0.6157008123033163,-6.968897673819593,-7.967971385227981,0.3446903231198266,0.3842991876966837,0.039608864576857084
soybean,2021-12-20,castor,5,1283,991,0.45401528797953944,0.37111661952535036,-5.657818143956021,-5.820522605869604,0.5459847120204606,0.6288833804746496,0.08289866845418903
soybean,2021-12-20,guarseed413,5,1270,996,0.5511388658808698,0.426437840432355,-5.016913558406937,-6.50191715363869,0.4488611341191302,0.573562159567645,0.1247010254485148
soybean,2021-12-20,jeera,5,1280,989,0.39310578170725025,0.46391109908373934,-4.531044942056843,-5.617101623723629,0.6068942182927497,0.5360889009162606,-0.0708053173764891
soybean,2021-12-20,turmeric,5,1294,998,0.17002309124722995,0.20493973582299715,-10.440622231595697,-8.004825939656264,0.8299769087527701,0.7950602641770028,-0.034916644575767264
soybean,2021-12-20,cotton,5,1293,1001,0.44847542581480276,0.42832820986997633,-5.435320719856066,-5.7844685466682195,0.5515245741851973,0.5716717901300237,0.02014721594482638
soybean,2021-12-20,castor,10,1283,991,0.3368214065094559,0.2532533609348482,-4.830759823975188,-5.341293759079575,0.6631785934905441,0.7467466390651518,0.08356804557460773
soybean,2021-12-20,guarseed413,10,1270,996,0.5509517591124276,0.38911223000706174,-3.4563956609531834,-4.830798159302716,0.44904824088757245,0.6108877699929383,0.1618395291053658
soybean,2021-12-20,jeera,10,1280,989,0.2526543589814739,0.4063582522589755,-4.012826517679538,-4.408286413111359,0.7473456410185261,0.5936417477410245,-0.15370389327750156
soybean,2021-12-20,turmeric,10,1294,998,0.09776920539461269,0.12155950527730837,-7.892266695067916,-6.261406828980134,0.9022307946053874,0.8784404947226916,-0.023790299882695765
soybean,2021-12-20,cotton,10,1293,1001,0.4248610026784514,0.3862684914647431,-3.7976398934786224,-4.167581632572958,0.5751389973215486,0.6137315085352568,0.038592511213708214
moong,2021-12-20,castor,2,1283,991,0.6796218218595477,0.6145096079814543,-6.4536468953870205,-6.310113331120527,0.32037817814045233,0.38549039201854574,0.0651122138780934
moong,2021-12-20,guarseed413,2,1270,996,0.6966061250394381,0.6472747800875419,-6.82072744480472,-8.089037527735199,0.3033938749605619,0.3527252199124581,0.04933134495189617
moong,2021-12-20,jeera,2,1280,989,0.6457354775503251,0.632413565178339,-5.0846053072887045,-7.783929940879351,0.3542645224496749,0.367586434821661,0.0133219123719861
moong,2021-12-20,turmeric,2,1294,998,0.4979622259629763,0.5120838500598579,-11.846710326911218,-9.378499097360939,0.5020377740370237,0.4879161499401421,-0.014121624096881558
moong,2021-12-20,cotton,2,1293,1001,0.6553096768801734,0.6157008123033163,-6.968897673819593,-7.967971385227981,0.3446903231198266,0.3842991876966837,0.039608864576857084
moong,2021-12-20,castor,5,1283,991,0.45401528797953944,0.37111661952535036,-5.657818143956021,-5.820522605869604,0.5459847120204606,0.6288833804746496,0.08289866845418903
moong,2021-12-20,guarseed413,5,1270,996,0.5511388658808698,0.426437840432355,-5.016913558406937,-6.50191715363869,0.4488611341191302,0.573562159567645,0.1247010254485148
moong,2021-12-20,jeera,5,1280,989,0.39310578170725025,0.46391109908373934,-4.531044942056843,-5.617101623723629,0.6068942182927497,0.5360889009162606,-0.0708053173764891
moong,2021-12-20,turmeric,5,1294,998,0.17002309124722995,0.20493973582299715,-10.440622231595697,-8.004825939656264,0.8299769087527701,0.7950602641770028,-0.034916644575767264
moong,2021-12-20,cotton,5,1293,1001,0.44847542581480276,0.42832820986997633,-5.435320719856066,-5.7844685466682195,0.5515245741851973,0.5716717901300237,0.02014721594482638
moong,2021-12-20,castor,10,1283,991,0.3368214065094559,0.2532533609348482,-4.830759823975188,-5.341293759079575,0.6631785934905441,0.7467466390651518,0.08356804557460773
moong,2021-12-20,guarseed413,10,1270,996,0.5509517591124276,0.38911223000706174,-3.4563956609531834,-4.830798159302716,0.44904824088757245,0.6108877699929383,0.1618395291053658
moong,2021-12-20,jeera,10,1280,989,0.2526543589814739,0.4063582522589755,-4.012826517679538,-4.408286413111359,0.7473456410185261,0.5936417477410245,-0.15370389327750156
moong,2021-12-20,turmeric,10,1294,998,0.09776920539461269,0.12155950527730837,-7.892266695067916,-6.261406828980134,0.9022307946053874,0.8784404947226916,-0.023790299882695765
moong,2021-12-20,cotton,10,1293,1001,0.4248610026784514,0.3862684914647431,-3.7976398934786224,-4.167581632572958,0.5751389973215486,0.6137315085352568,0.038592511213708214
