"Date","Price","Open","High","Low","Vol.","Change %"
"23-02-2021","8,122.00","7,896.00","8,122.00","7,888.00","3.20K","3.99%"
"22-02-2021","7,810.00","7,554.00","7,810.00","7,532.00","4.25K","3.99%"
"19-02-2021","7,510.00","7,340.00","7,578.00","7,316.00","3.20K","2.51%"
"18-02-2021","7,326.00","7,316.00","7,400.00","7,232.00","3.23K","-0.30%"
"17-02-2021","7,348.00","7,496.00","7,588.00","7,302.00","6.27K","-1.29%"
"16-02-2021","7,444.00","7,702.00","7,776.00","7,412.00","5.03K","-3.55%"
"15-02-2021","7,718.00","7,786.00","7,990.00","7,624.00","5.51K","-0.49%"
"12-02-2021","7,756.00","7,520.00","7,838.00","7,486.00","4.39K","2.86%"
"11-02-2021","7,540.00","7,590.00","7,720.00","7,436.00","3.83K","-0.53%"
"10-02-2021","7,580.00","7,460.00","7,708.00","7,414.00","6.00K","2.16%"
"09-02-2021","7,420.00","7,098.00","7,420.00","7,052.00","4.82K","3.98%"
"08-02-2021","7,136.00","6,990.00","7,204.00","6,900.00","5.35K","3.00%"
"05-02-2021","6,928.00","6,622.00","6,928.00","6,600.00","3.00K","3.99%"
"04-02-2021","6,662.00","6,462.00","6,688.00","6,430.00","2.47K","2.81%"
"03-02-2021","6,480.00","6,580.00","6,600.00","6,460.00","0.96K","-1.34%"
"02-02-2021","6,568.00","6,420.00","6,616.00","6,390.00","2.00K","2.59%"
"01-02-2021","6,402.00","6,618.00","6,624.00","6,370.00","2.59K","-2.32%"
"29-01-2021","6,554.00","6,506.00","6,620.00","6,504.00","1.35K","0.46%"
"28-01-2021","6,524.00","6,490.00","6,540.00","6,432.00","1.53K","0.74%"
"27-01-2021","6,476.00","6,420.00","6,558.00","6,378.00","2.78K","1.50%"
"25-01-2021","6,380.00","6,222.00","6,440.00","6,210.00","1.94K","2.44%"
"22-01-2021","6,228.00","6,270.00","6,328.00","6,200.00","1.37K","-0.95%"
"21-01-2021","6,288.00","6,368.00","6,370.00","6,272.00","1.29K","-0.66%"
"20-01-2021","6,330.00","6,200.00","6,330.00","6,200.00","1.54K","2.00%"
"19-01-2021","6,206.00","6,064.00","6,230.00","6,064.00","1.25K","2.14%"
"18-01-2021","6,076.00","6,050.00","6,100.00","6,006.00","0.75K","0.60%"
"15-01-2021","6,040.00","6,100.00","6,100.00","6,000.00","0.67K","-0.33%"
"14-01-2021","6,060.00","6,052.00","6,120.00","6,050.00","0.55K","-0.26%"
"13-01-2021","6,076.00","6,218.00","6,230.00","6,060.00","1.03K","-2.35%"
