Date,Price,Open,High,Low,Vol.,Change %,Open Interest,Contract Expiry,Days To Expiry,Roll Day
13-05-2024,58900.0,58900.0,58900.0,58900.0,2,-0.27%,71,31Jul2024,79,0
10-05-2024,59060.0,59120.0,59120.0,59000.0,5,-0.44%,69,31Jul2024,82,0
09-05-2024,59320.0,59320.0,59320.0,59300.0,3,0.00%,67,31Jul2024,83,0
08-05-2024,59320.0,59200.0,59580.0,59200.0,3,0.71%,67,31Jul2024,84,0
07-05-2024,58900.0,59000.0,59000.0,58700.0,3,-0.03%,67,31Jul2024,85,0
06-05-2024,58920.0,58920.0,58920.0,58920.0,2,-0.07%,64,31Jul2024,86,0
03-05-2024,58960.0,59020.0,59060.0,58900.0,12,-0.44%,62,31Jul2024,89,0
02-05-2024,59220.0,59200.0,59300.0,59000.0,7,0.03%,57,31Jul2024,90,0
01-05-2024,59200.0,60000.0,60000.0,59000.0,7,-0.60%,51,31Jul2024,91,0
30-04-2024,59560.0,59620.0,59620.0,59500.0,2,-1.81%,45,31Jul2024,92,0
29-04-2024,60660.0,60600.0,60800.0,60500.0,17,0.23%,44,31Jul2024,93,0
26-04-2024,60520.0,0.0,0.0,0.0,0,0.00%,36,31Jul2024,96,0
25-04-2024,60520.0,60200.0,60600.0,60200.0,5,0.07%,36,31Jul2024,97,0
24-04-2024,60480.0,0.0,0.0,0.0,0,0.00%,31,31Jul2024,98,0
23-04-2024,60480.0,60500.0,61200.0,59900.0,11,0.57%,31,31Jul2024,99,0
22-04-2024,60140.0,60200.0,60200.0,59500.0,11,2.87%,22,31Jul2024,100,0
19-04-2024,58460.0,58320.0,58780.0,58020.0,4,-0.34%,12,31Jul2024,103,0
18-04-2024,58660.0,58700.0,58700.0,58620.0,2,0.20%,10,31Jul2024,104,0
17-04-2024,58540.0,58540.0,58540.0,58540.0,1,-2.79%,8,31Jul2024,105,0
16-04-2024,60220.0,61100.0,61100.0,59900.0,8,-0.73%,7,31Jul2024,106,0
15-04-2024,60660.0,61000.0,61000.0,60300.0,2,0.26%,1,31Jul2024,107,0
12-04-2024,60500.0,0.0,0.0,0.0,0,0.00%,1,31Jul2024,110,0
11-04-2024,60500.0,60500.0,60500.0,60500.0,1,-1.63%,1,31Jul2024,111,0
10-04-2024,61500.0,0.0,0.0,0.0,0,0.00%,2,31Jul2024,112,0
09-04-2024,61500.0,0.0,0.0,0.0,0,0.00%,2,31Jul2024,113,0
08-04-2024,61500.0,61500.0,61500.0,61500.0,1,-1.91%,2,31Jul2024,114,0
05-04-2024,62700.0,0.0,0.0,0.0,0,0.00%,1,31Jul2024,117,0
04-04-2024,62700.0,0.0,0.0,0.0,0,0.00%,1,31Jul2024,118,0
03-04-2024,62700.0,0.0,0.0,0.0,0,0.00%,1,31Jul2024,119,0
02-04-2024,62700.0,62700.0,62700.0,62700.0,1,1.13%,1,31Jul2024,120,1
28-03-2024,62000.0,62000.0,62220.0,61840.0,21,-0.13%,427,31May2024,64,0
27-03-2024,62080.0,62300.0,62300.0,62000.0,17,-0.70%,436,31May2024,65,0
26-03-2024,62520.0,61920.0,62620.0,61920.0,37,0.87%,427,31May2024,66,0
25-03-2024,61980.0,61880.0,62040.0,61880.0,3,-0.23%,428,31May2024,67,0
22-03-2024,62120.0,61980.0,62360.0,61200.0,136,0.13%,430,31May2024,70,0
21-03-2024,62040.0,62700.0,62820.0,61900.0,69,-0.80%,362,31May2024,71,0
20-03-2024,62540.0,62900.0,62900.0,62480.0,37,-0.57%,326,31May2024,72,0
19-03-2024,62900.0,63200.0,63200.0,62700.0,28,-1.07%,309,31May2024,73,0
18-03-2024,63580.0,64040.0,64080.0,63360.0,27,0.38%,307,31May2024,74,0
15-03-2024,63340.0,64200.0,64200.0,63200.0,33,-0.69%,299,31May2024,77,0
14-03-2024,63780.0,63700.0,63960.0,63660.0,19,-0.47%,292,31May2024,78,0
13-03-2024,64080.0,64220.0,64700.0,63900.0,23,-0.62%,291,31May2024,79,0
12-03-2024,64480.0,64600.0,64720.0,64300.0,7,-0.77%,286,31May2024,80,0
11-03-2024,64980.0,64940.0,65080.0,64840.0,11,0.00%,285,31May2024,81,0
08-03-2024,64980.0,65400.0,65400.0,64520.0,6,-0.06%,279,31May2024,84,0
07-03-2024,65020.0,64480.0,65100.0,64480.0,35,0.81%,282,31May2024,85,0
06-03-2024,64500.0,64060.0,64540.0,64040.0,35,0.72%,260,31May2024,86,0
05-03-2024,64040.0,64260.0,64300.0,63700.0,11,-0.34%,245,31May2024,87,0
04-03-2024,64260.0,63600.0,64400.0,63500.0,17,-0.03%,243,31May2024,88,0
01-03-2024,64280.0,64220.0,64520.0,63700.0,80,0.06%,238,31May2024,91,0
29-02-2024,64240.0,64380.0,64880.0,64100.0,57,-1.83%,194,31May2024,92,0
28-02-2024,65440.0,64500.0,66000.0,64500.0,102,1.68%,170,31May2024,93,0
27-02-2024,64360.0,63780.0,64700.0,63420.0,57,1.45%,117,31May2024,94,0
26-02-2024,63440.0,62760.0,63580.0,62600.0,24,1.44%,78,31May2024,95,0
23-02-2024,62540.0,63100.0,63200.0,62400.0,20,0.22%,61,31May2024,98,0
22-02-2024,62400.0,62500.0,62740.0,62020.0,37,0.74%,46,31May2024,99,0
21-02-2024,61940.0,61940.0,62340.0,61600.0,15,0.65%,23,31May2024,100,0
20-02-2024,61540.0,61500.0,61600.0,61500.0,3,-0.81%,12,31May2024,101,0
19-02-2024,62040.0,62180.0,62180.0,61960.0,3,0.32%,10,31May2024,102,0
16-02-2024,61840.0,62300.0,62300.0,61600.0,6,0.16%,9,31May2024,105,0
15-02-2024,61740.0,61740.0,61740.0,61740.0,1,0.46%,3,31May2024,106,0
14-02-2024,61460.0,61800.0,61800.0,61100.0,2,0.92%,4,31May2024,107,0
13-02-2024,60900.0,60900.0,60900.0,60900.0,1,1.16%,2,31May2024,108,0
12-02-2024,60200.0,60200.0,60200.0,60200.0,3,2.03%,3,31May2024,109,0
09-02-2024,59000.0,0.0,0.0,0.0,0,3.47%,0,31May2024,112,1
31-01-2024,57020.0,57360.0,57360.0,56940.0,24,-0.63%,282,28Mar2024,57,0
30-01-2024,57380.0,57600.0,57600.0,57320.0,28,-0.42%,283,28Mar2024,58,0
29-01-2024,57620.0,57900.0,57900.0,57400.0,39,-0.66%,276,28Mar2024,59,0
25-01-2024,58000.0,57620.0,58160.0,57480.0,144,0.87%,254,28Mar2024,63,0
24-01-2024,57500.0,57000.0,57600.0,56840.0,100,0.45%,176,28Mar2024,64,0
23-01-2024,57240.0,57580.0,57800.0,56880.0,37,-0.35%,116,28Mar2024,65,0
22-01-2024,57440.0,0.0,0.0,0.0,0,0.00%,102,28Mar2024,66,0
19-01-2024,57440.0,56840.0,57580.0,56620.0,17,1.06%,102,28Mar2024,69,0
18-01-2024,56840.0,56600.0,56940.0,56600.0,15,0.46%,91,28Mar2024,70,0
17-01-2024,56580.0,56520.0,56880.0,56500.0,7,-0.32%,80,28Mar2024,71,0
16-01-2024,56760.0,56920.0,56920.0,56700.0,4,-0.42%,75,28Mar2024,72,0
15-01-2024,57000.0,57020.0,57020.0,57000.0,3,-0.28%,72,28Mar2024,73,0
12-01-2024,57160.0,57100.0,57200.0,57100.0,7,0.11%,70,28Mar2024,76,0
11-01-2024,57100.0,56900.0,57300.0,56900.0,6,-0.04%,67,28Mar2024,77,0
10-01-2024,57120.0,57200.0,57200.0,57100.0,6,-0.14%,62,28Mar2024,78,0
09-01-2024,57200.0,57300.0,57360.0,57000.0,6,-0.24%,57,28Mar2024,79,0
08-01-2024,57340.0,57500.0,57500.0,57240.0,6,-0.52%,54,28Mar2024,80,0
05-01-2024,57640.0,57740.0,57740.0,57520.0,2,-0.31%,52,28Mar2024,83,0
04-01-2024,57820.0,57880.0,57880.0,57720.0,3,-0.03%,50,28Mar2024,84,0
03-01-2024,57840.0,57880.0,57900.0,57600.0,11,-0.24%,47,28Mar2024,85,0
02-01-2024,57980.0,58000.0,58000.0,57940.0,2,0.14%,38,28Mar2024,86,0
01-01-2024,57900.0,57780.0,58000.0,57780.0,2,-0.31%,37,28Mar2024,87,0
29-12-2023,58080.0,58080.0,58080.0,58080.0,1,0.41%,36,28Mar2024,90,0
28-12-2023,57840.0,57820.0,57900.0,57800.0,3,-0.14%,35,28Mar2024,91,0
27-12-2023,57920.0,58100.0,58100.0,57840.0,3,0.38%,33,28Mar2024,92,0
26-12-2023,57700.0,57680.0,57720.0,57620.0,11,0.07%,30,28Mar2024,93,0
22-12-2023,57660.0,57300.0,57780.0,57300.0,10,0.84%,21,28Mar2024,97,0
21-12-2023,57180.0,0.0,0.0,0.0,0,0.00%,14,28Mar2024,98,0
20-12-2023,57180.0,57100.0,57280.0,57020.0,9,-0.97%,14,28Mar2024,99,0
19-12-2023,57740.0,57740.0,57740.0,57740.0,1,-0.45%,6,28Mar2024,100,0
18-12-2023,58000.0,0.0,0.0,0.0,0,0.00%,5,28Mar2024,101,0
15-12-2023,58000.0,0.0,0.0,0.0,0,0.00%,5,28Mar2024,104,0
14-12-2023,58000.0,0.0,0.0,0.0,0,0.00%,5,28Mar2024,105,0
13-12-2023,58000.0,58000.0,58000.0,57980.0,3,-0.34%,5,28Mar2024,106,0
12-12-2023,58200.0,58200.0,58200.0,58200.0,1,0.00%,2,28Mar2024,107,0
11-12-2023,58200.0,58200.0,58200.0,58200.0,1,0.34%,1,28Mar2024,108,0
08-12-2023,58000.0,0.0,0.0,0.0,0,1.40%,0,28Mar2024,111,1
30-11-2023,57200.0,57000.0,57480.0,56820.0,12,-0.17%,152,31Jan2024,62,0
29-11-2023,57300.0,57200.0,57380.0,57200.0,8,0.24%,147,31Jan2024,63,0
28-11-2023,57160.0,56800.0,57460.0,56800.0,19,0.11%,142,31Jan2024,64,0
27-11-2023,57100.0,57120.0,57120.0,57100.0,5,-0.66%,127,31Jan2024,65,0
24-11-2023,57480.0,57500.0,57800.0,57200.0,41,-0.55%,122,31Jan2024,68,0
23-11-2023,57800.0,57900.0,57900.0,57740.0,5,0.28%,89,31Jan2024,69,0
22-11-2023,57640.0,57520.0,57800.0,57500.0,10,-0.14%,84,31Jan2024,70,0
21-11-2023,57720.0,57720.0,57720.0,57720.0,1,-0.48%,76,31Jan2024,71,0
20-11-2023,58000.0,58100.0,58460.0,57500.0,11,0.45%,75,31Jan2024,72,0
17-11-2023,57740.0,57740.0,57740.0,57740.0,1,-1.23%,67,31Jan2024,75,0
16-11-2023,58460.0,58500.0,58500.0,58400.0,2,0.86%,66,31Jan2024,76,0
15-11-2023,57960.0,0.0,0.0,0.0,0,0.00%,66,31Jan2024,77,0
14-11-2023,57960.0,0.0,0.0,0.0,0,0.00%,66,31Jan2024,78,0
13-11-2023,57960.0,0.0,0.0,0.0,0,0.00%,66,31Jan2024,79,0
12-11-2023,57960.0,0.0,0.0,0.0,0,0.00%,66,31Jan2024,80,0
10-11-2023,57960.0,0.0,0.0,0.0,0,0.00%,66,31Jan2024,82,0
09-11-2023,57960.0,58000.0,58500.0,57400.0,8,0.56%,66,31Jan2024,83,0
08-11-2023,57640.0,57700.0,58260.0,57600.0,23,-0.72%,63,31Jan2024,84,0
07-11-2023,58060.0,59000.0,59000.0,58020.0,21,-1.09%,45,31Jan2024,85,0
06-11-2023,58700.0,58800.0,58800.0,58580.0,7,-0.98%,33,31Jan2024,86,0
03-11-2023,59280.0,59300.0,59300.0,59240.0,2,0.51%,30,31Jan2024,89,0
02-11-2023,58980.0,58900.0,59740.0,58800.0,10,0.10%,28,31Jan2024,90,0
01-11-2023,58920.0,59000.0,59000.0,58800.0,3,-1.77%,24,31Jan2024,91,0
31-10-2023,59980.0,0.0,0.0,0.0,0,0.00%,23,31Jan2024,92,0
30-10-2023,59980.0,60140.0,60140.0,59800.0,2,0.30%,23,31Jan2024,93,0
27-10-2023,59800.0,59800.0,59800.0,59800.0,1,0.50%,22,31Jan2024,96,0
26-10-2023,59500.0,0.0,0.0,0.0,0,0.00%,22,31Jan2024,97,0
25-10-2023,59500.0,59500.0,59500.0,59500.0,2,0.51%,22,31Jan2024,98,0
24-10-2023,59200.0,59200.0,59200.0,59200.0,1,-0.17%,21,31Jan2024,99,0
23-10-2023,59300.0,59300.0,59300.0,59300.0,1,-0.17%,20,31Jan2024,100,0
20-10-2023,59400.0,59500.0,59500.0,59180.0,3,-0.10%,19,31Jan2024,103,0
19-10-2023,59460.0,59500.0,59500.0,59400.0,2,-0.57%,17,31Jan2024,104,0
18-10-2023,59800.0,60000.0,60040.0,59200.0,5,-0.33%,15,31Jan2024,105,0
17-10-2023,60000.0,0.0,0.0,0.0,0,0.00%,10,31Jan2024,106,0
16-10-2023,60000.0,0.0,0.0,0.0,0,0.00%,10,31Jan2024,107,0
13-10-2023,60000.0,0.0,0.0,0.0,0,0.00%,10,31Jan2024,110,0
12-10-2023,60000.0,0.0,0.0,0.0,0,0.00%,10,31Jan2024,111,0
11-10-2023,60000.0,60000.0,60000.0,60000.0,1,-1.51%,10,31Jan2024,112,0
10-10-2023,60920.0,0.0,0.0,0.0,0,0.00%,9,31Jan2024,113,0
09-10-2023,60920.0,0.0,0.0,0.0,0,0.00%,9,31Jan2024,114,0
06-10-2023,60920.0,60900.0,61000.0,60900.0,4,0.03%,9,31Jan2024,117,0
05-10-2023,60900.0,0.0,0.0,0.0,0,0.00%,5,31Jan2024,118,0
04-10-2023,60900.0,61000.0,61000.0,60800.0,2,-0.75%,5,31Jan2024,119,0
03-10-2023,61360.0,0.0,0.0,0.0,0,0.00%,4,31Jan2024,120,0
29-09-2023,61360.0,61360.0,61360.0,61360.0,1,0.46%,4,31Jan2024,124,0
28-09-2023,61080.0,0.0,0.0,0.0,0,0.00%,4,31Jan2024,125,0
